product_id|product_name|car_brand|car_type|swept_volume|productive_date|price_of_distributor|price_of_purchase|price_of_retail|product_category
L8WD698151|欧标片(前)|奥迪|A4L(B9)|40TFSI|2016.09-|¥168.0|¥240.0|¥480.0|刹车-蹄片
8835001CAD0000|陶瓷片(前)|传祺|GS8|2.0T|2016.10-|¥188.0|¥250.0|¥500.0|刹车-蹄片
3520001CADS010|陶瓷片(后)|传祺|GS8|2.0T|2016.10-|¥110.0|¥150.0|¥300.0|刹车-蹄片
1064002555|全能片(前)|吉利|远景|1.3T/1.8L|2016.08-|¥85.0|¥110.0|¥220.0|刹车-蹄片
S6DM3502700|陶瓷片(后)|比亚迪|唐|2.0TI Hybrid|2015.06-|¥100.0|¥130.0|¥260.0|刹车-蹄片
|陶瓷片(前)|本田|飞度|1.3|2008/07-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|飞度|1.5|2008/07-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|飞度|1.5|2014/05-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|竞瑞|1.5L|2016.10-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|哥瑞|1.5L|2015/10-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|锋范|1.5L15A7|2008/12-2010/12|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|锋范|1.8R18A1|2008/12-2010/12|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|锋范|1.5L|2015/08-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(前)|本田|凌派|1.8|2013/06-|¥128.0|¥160.0|¥320.0|刹车-蹄片
|驻车制动蹄(后)|日产|MX 5|1.4T/2.0L|2016.11-|¥80.0|¥100.0|¥200.0|刹车-蹄片
|全能片(后)|五菱|宝骏510|1.5L|2017.01-|¥85.0|¥110.0|¥220.0|刹车-蹄片
|欧标片(前)|奔驰|S450L/S450L Maybach|3.0T|2017.09-|¥360.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|奔驰|S500(V222;W222;X222)|4.7|2013/09-|¥360.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|奔驰|S400Maybach(V222,W222,X222)|3.0|2015/01-|¥360.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|奔驰|S400L(V222,W222,X222)|3.0|2014/11-|¥360.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|奔驰|S400Hybrid(V222,W222,X222)|3.5|2013/05-|¥360.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|奔驰|S400(V222,W222,X222)|3.5|2013/09-|¥360.0|¥520.0|¥1,040.0|刹车-蹄片
673005730|欧标片(后)|玛莎拉蒂|吉博力（高配）|3.0T|2017.09-|停止供应|||刹车-蹄片
673005730|欧标片(后)|玛莎拉蒂|总裁（高配）|3.0T|2016.09-|停止供应|||刹车-蹄片
|欧标片(前)|奥迪|A4L(B9)|45TFSI|2016.09-|停止供应，请用GDB8122下单|||刹车-蹄片
|欧标片(前)|奥迪|A4(B9) Allroad(旅行车)|45TFSI|2016.12-|停止供应，请用GDB8122下单|||刹车-蹄片
|鼓式刹车蹄(后)|众泰|众泰5008|1.3|2008-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|众泰|众泰5008|1.5|2008-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|众泰|众泰2008|1.3|2007/01-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|众泰|众泰2008|1.5|2007/01-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|众泰|众泰2008|1.6|2009/01-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|铃木|派喜|1.4|2011/11-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|铃木|雨燕|1.3|2005/04-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|铃木|雨燕|1.5|2007/12-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|长安|奔奔Mini|1.0|2010/03-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|长安|奔奔Love|1.3|2009/12-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|长安|奔奔i|1.0|2008/08-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|长安|奔奔i|1.3|2006/11-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|铃木|新奥拓|1.0|2009/07-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|五菱|五菱宏光|1.2|2010/09-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|五菱|五菱宏光|1.4|2010/09-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|长安|CX20|1.3|2010/10-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|五菱|乐驰Spark|0.8|2002/11-2009/03|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|五菱|乐驰Spark|1.0|2003/12-2010/04|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|五菱|乐驰Spark|1.0|2010/04-|停止供应|||刹车-蹄片
|鼓式刹车蹄(后)|五菱|乐驰Spark|1.2|2008/12-|停止供应|||刹车-蹄片
0004206000|欧标片(后)|奔驰|E200L(W213)|2.0T|2016.08-|¥240.0|¥340.0|¥680.0|刹车-蹄片
0004206000|欧标片(后)|奔驰|E300L(W213)|2.0T|2016.08-|¥240.0|¥340.0|¥680.0|刹车-蹄片
0004206000|欧标片(后)|奔驰|E200|2.0T|2017.06-|¥240.0|¥340.0|¥680.0|刹车-蹄片
0004206000|欧标片(后)|奔驰|E200 4 Matic|2.0T|2017.06-|¥240.0|¥340.0|¥680.0|刹车-蹄片
0004206000|欧标片(后)|奔驰|E300|2.0T|2017.06-|¥240.0|¥340.0|¥680.0|刹车-蹄片
|欧标片(前)|奔驰|E200|2.0T|2017.06-|¥318.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奔驰|E200 4 Matic|2.0T|2017.06-|¥318.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奔驰|E300|2.0T|2017.06-|¥370.0|¥520.0|¥1,040.0|刹车-蹄片
A0004204900|欧标片(前)|奔驰|GLC 260(X253)|2.0T|2015.11-|¥318.0|¥450.0|¥900.0|刹车-蹄片
A0004204900|欧标片(前)|奔驰|GLC 300(X253)|2.0T|2015.11-|¥318.0|¥450.0|¥900.0|刹车-蹄片
A0004204900|欧标片(前)|奔驰|GLC 200(X253)|2.0T|2015.11-|¥318.0|¥450.0|¥900.0|刹车-蹄片
A0004207800|欧标片(前)|奔驰|CLA 45AMG(C117)|2.0T|2016.06-|¥370.0|¥520.0|¥1,040.0|刹车-蹄片
440608235R|欧标片(后)|雷诺|Espace|1.8T|2017.11-|¥140.0|¥190.0|¥380.0|刹车-蹄片
8W0698151AD|欧标片(前)|奥迪|A4L(B9)|45TFSI|2016.09-|¥268.0|¥370.0|¥740.0|刹车-蹄片
8W0698151AD|欧标片(前)|奥迪|A4(B9) Allroad(旅行车)|45TFSI|2016.12-|¥268.0|¥370.0|¥740.0|刹车-蹄片
8835001CAC0000|全能片(后)|传祺|GA8|1.8T|2017.04-|¥130.0|¥170.0|¥340.0|刹车-蹄片
8835001CAC0000|全能片(后)|传祺|GA6|1.6T/1.8T|2014.10-|¥130.0|¥170.0|¥340.0|刹车-蹄片
8835001CAC0000|全能片(后)|传祺|GA6|1.5T|2016.03-|¥130.0|¥170.0|¥340.0|刹车-蹄片
|陶瓷片(前)|雪佛兰|探界者|2.0T|2017.04-|¥208.0|¥270.0|¥540.0|刹车-蹄片
|陶瓷片(前)|马自达|CX-4|2.0L/2.5L|2016.06-|¥148.0|¥190.0|¥380.0|刹车-蹄片
|陶瓷片(前)|雪佛兰|科鲁兹 XL|1.5L|2016.07-|¥130.0|¥170.0|¥340.0|刹车-蹄片
|陶瓷片(前)|雪佛兰|科鲁兹 XL|1.4T|2016.07-|¥130.0|¥170.0|¥340.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹 XL|1.5L|2016.07-|¥110.0|¥140.0|¥280.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹 XL|1.4T|2016.07-|¥110.0|¥140.0|¥280.0|刹车-蹄片
|陶瓷片(前)|别克|全新君越(17")|2.0T|2016.03-|¥208.0|¥270.0|¥540.0|刹车-蹄片
|陶瓷片(前)|马自达|CX-5|2.0|2013/08-|¥158.0|¥200.0|¥400.0|刹车-蹄片
|陶瓷片(前)|马自达|CX-5|2.5|2013/08-|¥158.0|¥200.0|¥400.0|刹车-蹄片
|陶瓷片(前)|马自达|CX-5(KE,GH)|2.04X2|2012/06-|¥158.0|¥200.0|¥400.0|刹车-蹄片
|陶瓷片(前)|马自达|CX-5(KE,GH)|2.04X4|2012/06-|¥158.0|¥200.0|¥400.0|刹车-蹄片
|陶瓷片(后)|标致|4008|2.0|2013/1-|¥126.0|¥160.0|¥320.0|刹车-蹄片
|陶瓷片(后)|雪铁龙|C4Aircross|2.0|2013/04-|¥126.0|¥160.0|¥320.0|刹车-蹄片
